STATE,STATENAME,ST_CASE,PEDS,PERNOTMVIT,PERSONS,FATALS,COUNTY,COUNTYNAME,CITY,CITYNAME,MONTH,DAY,YEAR,HOUR,MINUTE,TWAY_ID,TWAY_ID2,ROUTE,ROUTENAME,LATITUDE,LATITUDENAME,LONGITUD,LONGITUDNAME
11,District of Columbia,110013,2,2,2,2,1,DISTRICT OF COLUMBIA (1),10,WASHINGTON,7,2,2022,17,27,MINNESOTA AVE NE,NANNIE HELEN BURROUGHS AVE NE,6,Local Street - Municipality,38.90194722,38.90194722,-76.942605560,-76.94260556
1,Alabama,10094,1,1,3,1,73,JEFFERSON (73),350,BIRMINGHAM,2,18,2022,10,22,FIVE MILE RD,ELIZABETH DR,6,Local Street - Municipality,33.60484722,33.60484722,-86.700233330,-86.70023333
