STATE,STATENAME,ST_CASE,PEDS,PERNOTMVIT,PERSONS,FATALS,COUNTY,COUNTYNAME,CITY,CITYNAME,MONTH,DAY,YEAR,HOUR,MINUTE,TWAY_ID,TWAY_ID2,ROUTE,ROUTENAME,LATITUDE,LATITUDENAME,LONGITUD,LONGITUDNAME
13,Georgia,130007,1,1,2,1,121,FULTON (121),280,ATLANTA,1,2,2021,9,22,I-75/85,,1,Interstate,33.76784722,33.76784722,-84.389097220,-84.389097220
13,Georgia,130027,1,1,1,1,121,FULTON (121),2060,FAIRBURN,1,8,2021,21,12,SR-14,,3,State Highway,33.55853889,33.55853889,-84.590163890,-84.590163890
13,Georgia,130107,1,1,1,1,121,FULTON (121),0,NOT APPLICABLE,1,22,2021,19,23,SR-70,,3,State Highway,33.76527778,33.76527778,-84.529730560,-84.529730560
13,Georgia,131350,1,1,1,1,121,FULTON (121),280,ATLANTA,9,16,2021,21,37,SR-3  METROPOLITIAN PKWY,,3,State Highway,33.69470278,33.69470278,-84.408125000,-84.408125000
13,Georgia,131458,2,2,1,1,121,FULTON (121),280,ATLANTA,10,29,2021,21,44,SR-9,,3,State Highway,33.78620000,33.78620000,-84.401580560,-84.401580560
13,Georgia,130238,2,2,1,2,185,LOWNDES (185),0,NOT APPLICABLE,3,2,2021,19,3,CR-237,,4,County Road,30.90830556,30.90830556,-83.422144440,-83.422144440
6,California,61620,1,1,1,1,85,SANTA CLARA (85),3340,SAN JOSE,5,4,2021,22,25,KOOSER RD,CARTER AVE,6,Local Street - Municipality,37.24111944,37.24111944,-121.901625000,-121.901625000
4,Arizona,40246,1,1,1,1,9,GRAHAM (9),410,SAFFORD,1,1,2021,9,55,S 20TH AVE,,9,Unknown,99.99990000,99.99990000,999.999900000,999.999900000
